Node,X,Y,Latitude,Longitude
0,0,0,42.67200000,-83.21557000
1,0,90,42.67281018,-83.21557000
2,0,180,42.67362036,-83.21557000
3,-100,370,42.67533074,-83.21678991
4,-100,460,42.67614092,-83.21678991
5,160,370,42.67533074,-83.21361815
6,160,280,42.67452056,-83.21361815
7,270,370,42.67533074,-83.21227625
8,360,370,42.67533074,-83.21117833
9,270,280,42.67452056,-83.21227625
10,180,180,42.67362036,-83.21337416
11,180,90,42.67281018,-83.21337416
12,90,90,42.67281018,-83.21447208
13,90,180,42.67362036,-83.21447208
14,-270,250,42.67425050,-83.21886375
15,-180,250,42.67425050,-83.21776584
